               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  82,            0.024574,            0.023008,           0.0058548,             0.76316,             0.62285,             0.68031,             0.43522,            0.039241,            0.030375,            0.014944,           0.0084759,           0.0084759,           0.0084759
                  83,            0.024258,            0.022602,            0.005713,             0.78169,             0.63925,             0.69448,             0.44703,            0.038423,            0.029678,            0.014176,           0.0084404,           0.0084404,           0.0084404
                  84,            0.023996,            0.022423,           0.0054837,             0.76831,             0.62971,             0.68763,             0.44273,            0.038677,            0.030016,            0.014747,           0.0084046,           0.0084046,           0.0084046
                  85,            0.024323,            0.022178,           0.0056019,             0.77866,             0.61751,             0.68291,             0.44004,            0.038352,            0.029645,             0.01455,           0.0083684,           0.0083684,           0.0083684
                  86,            0.024591,            0.022885,           0.0053872,              0.7633,              0.6307,             0.68552,             0.44206,            0.038853,            0.029759,            0.014923,           0.0083319,           0.0083319,           0.0083319
                  87,            0.025053,             0.02447,           0.0070509,             0.74767,             0.61896,             0.66767,              0.4252,            0.038781,            0.029542,            0.015819,           0.0082952,           0.0082952,           0.0082952
                  88,            0.024651,            0.023336,           0.0065425,              0.7559,             0.61711,              0.6708,             0.43355,            0.038803,             0.02887,            0.015247,           0.0082581,           0.0082581,           0.0082581
                  89,            0.024448,            0.023084,           0.0058241,             0.74894,             0.65003,             0.69239,             0.44842,            0.038338,            0.028774,            0.014093,           0.0082207,           0.0082207,           0.0082207
                  90,            0.024302,            0.022781,           0.0059212,             0.76113,             0.62629,             0.67755,             0.44164,            0.038923,            0.029763,            0.015659,            0.008183,            0.008183,            0.008183
                  91,            0.024267,            0.023252,           0.0058905,             0.77841,             0.62106,             0.68537,             0.44293,             0.03843,            0.029353,            0.015718,            0.008145,            0.008145,            0.008145
                  92,            0.024223,            0.022352,            0.005802,             0.74974,             0.64046,             0.68475,             0.44778,            0.038841,            0.029964,            0.015663,           0.0081068,           0.0081068,           0.0081068
                  93,            0.023821,            0.022833,           0.0055109,             0.77492,             0.61959,             0.68094,             0.44222,            0.038977,             0.02996,            0.015229,           0.0080682,           0.0080682,           0.0080682
                  94,            0.023572,            0.022131,           0.0054047,             0.75471,             0.63403,             0.67896,             0.44017,            0.038723,            0.030828,            0.014988,           0.0080294,           0.0080294,           0.0080294
                  95,            0.023475,            0.022021,           0.0052813,             0.76662,             0.63275,             0.68778,             0.45035,            0.038722,             0.03002,            0.014691,           0.0079903,           0.0079903,           0.0079903
                  96,            0.023553,            0.021988,           0.0053723,             0.75979,             0.62558,             0.67796,             0.44443,            0.038922,             0.03002,             0.01501,           0.0079509,           0.0079509,           0.0079509
                  97,            0.023395,            0.021719,           0.0053235,             0.77602,             0.62516,             0.68568,             0.44839,            0.038894,            0.030003,             0.01455,           0.0079112,           0.0079112,           0.0079112
                  98,            0.023381,            0.021908,           0.0058259,             0.77708,             0.62261,             0.68337,              0.4437,            0.038666,             0.03075,            0.015149,           0.0078713,           0.0078713,           0.0078713
                  99,            0.023617,            0.022628,            0.005844,             0.76143,             0.62445,             0.67817,               0.443,            0.038836,            0.029937,            0.015266,           0.0078311,           0.0078311,           0.0078311
                 100,            0.023353,            0.022569,           0.0054786,             0.77009,             0.62095,              0.6803,             0.44182,            0.038601,            0.030448,            0.015152,           0.0077907,           0.0077907,           0.0077907
